2019-01-07 21:09:56.466753: I tensorflow/core/common_runtime/process_util.cc:69] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
Training...

batch 28900: train=1.000000 test=0.950000
batch 29000: train=1.000000 test=1.000000
batch 29100: train=0.950000 test=0.950000
batch 29200: train=0.950000 test=1.000000
batch 29300: train=1.000000 test=1.000000
batch 29400: train=1.000000 test=1.000000
batch 29500: train=0.950000 test=1.000000
batch 29600: train=1.000000 test=1.000000
batch 29700: train=1.000000 test=0.950000
batch 29800: train=1.000000 test=0.950000
batch 29900: train=0.950000 test=0.950000
batch 30000: train=0.950000 test=1.000000
batch 30100: train=0.900000 test=1.000000
batch 30200: train=1.000000 test=1.000000
batch 30300: train=0.850000 test=1.000000
batch 30400: train=0.950000 test=0.900000
batch 30500: train=1.000000 test=1.000000
batch 30600: train=1.000000 test=0.900000
batch 30700: train=1.000000 test=1.000000
batch 30800: train=0.900000 test=0.900000
batch 30900: train=1.000000 test=1.000000
batch 31000: train=1.000000 test=1.000000
batch 31100: train=1.000000 test=1.000000
batch 31200: train=1.000000 test=1.000000
batch 31300: train=1.000000 test=0.950000
batch 31400: train=0.950000 test=1.000000
batch 31500: train=1.000000 test=1.000000
batch 31600: train=1.000000 test=0.950000
batch 31700: train=0.950000 test=0.950000
batch 31800: train=1.000000 test=1.000000
batch 31900: train=0.950000 test=1.000000
batch 32000: train=0.950000 test=0.950000
batch 32100: train=1.000000 test=0.950000
batch 32200: train=0.900000 test=1.000000
batch 32300: train=0.950000 test=0.850000
batch 32400: train=1.000000 test=0.900000
batch 32500: train=0.950000 test=1.000000
batch 32600: train=1.000000 test=0.850000
batch 32700: train=0.950000 test=0.950000
batch 32800: train=1.000000 test=0.850000
batch 32900: train=1.000000 test=0.950000
batch 33000: train=0.950000 test=0.950000
batch 33100: train=1.000000 test=1.000000
batch 33200: train=0.950000 test=0.850000
batch 33300: train=0.950000 test=1.000000
batch 33400: train=1.000000 test=0.900000
batch 33500: train=1.000000 test=0.950000
batch 33600: train=0.950000 test=1.000000
batch 33700: train=0.950000 test=1.000000
batch 33800: train=0.950000 test=0.950000
